WKT,latitude,longitude,brightness,scan,track,acq_date,acq_time,acq_datetime,confidence,brightness_2,frp
"POINT (21.60277 44.06918)",44.06918,21.60277,313.6,1.33,1.14,2024-02-17,917,2024/02/17 09:17:00+00,74,286.21,21.05
"POINT (16.70738 44.65487)",44.65487,16.70738,302.48,1,1,2024-02-17,917,2024/02/17 09:17:00+00,52,285.54,6.86
"POINT (21.59905 44.05931)",44.05931,21.59905,305.75,1.33,1.14,2024-02-17,917,2024/02/17 09:17:00+00,60,285.53,12.13
"POINT (21.18131 48.60571)",48.60571,21.18131,304.83,1.09,1.04,2024-02-17,917,2024/02/17 09:17:00+00,60,280.21,9.95
"POINT (16.65844 40.39963)",40.39963,16.65844,300.84,1.02,1.01,2024-02-17,919,2024/02/17 09:19:00+00,42,288.49,4.5
"POINT (21.5006 41.83341)",41.83341,21.5006,303.74,1.47,1.2,2024-02-17,919,2024/02/17 09:19:00+00,57,284.95,14.38
"POINT (19.47442 42.56194)",42.56194,19.47442,309.02,1.15,1.07,2024-02-17,919,2024/02/17 09:19:00+00,68,278.34,15.55
"POINT (17.6207 43.15679)",43.15679,17.6207,306.2,1.02,1.01,2024-02-17,919,2024/02/17 09:19:00+00,63,284.48,9.09
"POINT (16.67776 38.95874)",38.95874,16.67776,300.43,1.04,1.02,2024-02-17,919,2024/02/17 09:19:00+00,37,287.61,5.02
"POINT (-6.80364 38.77592)",38.77592,-6.80364,300.91,1.13,1.06,2024-02-17,1057,2024/02/17 10:57:00+00,43,288.28,5.52
"POINT (-5.69339 39.78702)",39.78702,-5.69339,300.94,1.21,1.1,2024-02-17,1057,2024/02/17 10:57:00+00,43,286.97,6.82
"POINT (-1.27511 41.58823)",41.58823,-1.27511,300.23,1.89,1.34,2024-02-17,1057,2024/02/17 10:57:00+00,32,285.35,11.23
"POINT (-5.73491 43.52424)",43.52424,-5.73491,304.6,1.08,1.04,2024-02-17,1057,2024/02/17 10:57:00+00,59,285.5,7.94
"POINT (4.89418 43.44466)",43.44466,4.89418,301.77,3.73,1.81,2024-02-17,1057,2024/02/17 10:57:00+00,0,285.35,34.88
"POINT (-7.23604 37.56178)",37.56178,-7.23604,310.83,1.13,1.06,2024-02-17,1100,2024/02/17 11:00:00+00,59,290.24,10.57
"POINT (-7.20871 37.56682)",37.56682,-7.20871,310.4,1.13,1.06,2024-02-17,1100,2024/02/17 11:00:00+00,28,290.63,9.65
"POINT (-7.1939 37.57399)",37.57399,-7.1939,304.37,1.13,1.06,2024-02-17,1100,2024/02/17 11:00:00+00,24,290.95,5.76
"POINT (-5.95698 37.64735)",37.64735,-5.95698,301.03,1.28,1.12,2024-02-17,1100,2024/02/17 11:00:00+00,44,289.15,6.27
"POINT (-6.10394 36.61649)",36.61649,-6.10394,304.99,1.31,1.14,2024-02-17,1100,2024/02/17 11:00:00+00,52,290.97,7.42
"POINT (22.55973 40.66706)",40.66706,22.55973,301.46,3.02,1.65,2024-02-17,1119,2024/02/17 11:19:00+00,47,289.83,14.02
"POINT (22.55541 40.66741)",40.66741,22.55541,301.48,3.02,1.65,2024-02-17,1119,2024/02/17 11:19:00+00,47,289.79,14.79
"POINT (22.17653 45.01283)",45.01283,22.17653,307.15,2.36,1.48,2024-02-17,1121,2024/02/17 11:21:00+00,65,284.25,33.28
"POINT (24.45611 42.64117)",42.64117,24.45611,304.15,2.07,1.4,2024-02-17,1121,2024/02/17 11:21:00+00,58,282.53,22.34
"POINT (24.39868 42.65444)",42.65444,24.39868,303.48,2.08,1.4,2024-02-17,1121,2024/02/17 11:21:00+00,53,281.94,21.44
"POINT (21.59022 44.0546)",44.0546,21.59022,304.17,2.71,1.58,2024-02-17,1121,2024/02/17 11:21:00+00,58,287.27,30.39
"POINT (21.58415 44.05879)",44.05879,21.58415,302.98,2.71,1.58,2024-02-17,1121,2024/02/17 11:21:00+00,54,287.02,28.78
"POINT (22.14848 45.00615)",45.00615,22.14848,310.42,2.37,1.49,2024-02-17,1121,2024/02/17 11:21:00+00,70,284.35,41.72
"POINT (23.27008 46.02889)",46.02889,23.27008,300.08,1.93,1.36,2024-02-17,1121,2024/02/17 11:21:00+00,26,285.54,13.55
"POINT (4.76524 43.5301)",43.5301,4.76524,326.41,1.13,1.06,2024-02-17,1259,2024/02/17 12:59:00+00,84,288.1,29.49
"POINT (4.78387 43.53957)",43.53957,4.78387,328.15,1.13,1.06,2024-02-17,1259,2024/02/17 12:59:00+00,85,289.16,31.29
"POINT (4.77037 43.53722)",43.53722,4.77037,361.88,1.13,1.06,2024-02-17,1259,2024/02/17 12:59:00+00,100,293.34,109.02
"POINT (5.8254 43.763)",43.763,5.8254,305.37,1.05,1.02,2024-02-17,1259,2024/02/17 12:59:00+00,54,289.34,6.25
"POINT (5.82252 43.77193)",43.77193,5.82252,305.14,1.05,1.02,2024-02-17,1259,2024/02/17 12:59:00+00,50,290.02,5.98
"POINT (6.01527 44.00781)",44.00781,6.01527,303.65,1.03,1.02,2024-02-17,1259,2024/02/17 12:59:00+00,57,289.92,5.89
"POINT (4.02569 44.09946)",44.09946,4.02569,301.71,1.18,1.08,2024-02-17,1259,2024/02/17 12:59:00+00,49,289.06,6.05
"POINT (9.94939 45.1419)",45.1419,9.94939,300.12,1.11,1.05,2024-02-17,1259,2024/02/17 12:59:00+00,25,288.99,3.68
"POINT (9.93554 45.14024)",45.14024,9.93554,303.63,1.11,1.05,2024-02-17,1259,2024/02/17 12:59:00+00,0,288.86,5.9
"POINT (6.03959 43.51775)",43.51775,6.03959,303.49,1.04,1.02,2024-02-17,1259,2024/02/17 12:59:00+00,56,288.78,5.94
"POINT (6.13559 43.39399)",43.39399,6.13559,300.81,1.04,1.02,2024-02-17,1259,2024/02/17 12:59:00+00,42,288.19,4.32
"POINT (6.14799 43.396)",43.396,6.14799,300.62,1.04,1.02,2024-02-17,1259,2024/02/17 12:59:00+00,40,288.69,4.3
"POINT (5.98954 43.26851)",43.26851,5.98954,304.79,1.05,1.02,2024-02-17,1259,2024/02/17 12:59:00+00,60,288,6.96
"POINT (6.01514 43.27263)",43.27263,6.01514,300.52,1.05,1.02,2024-02-17,1259,2024/02/17 12:59:00+00,32,287.33,4.3
"POINT (17.17486 44.24124)",44.24124,17.17486,304.25,2.49,1.52,2024-02-17,1259,2024/02/17 12:59:00+00,48,285.43,25.39
"POINT (17.1841 44.23261)",44.23261,17.1841,303.11,2.49,1.52,2024-02-17,1259,2024/02/17 12:59:00+00,50,286.14,23.93
"POINT (19.33157 44.2877)",44.2877,19.33157,300.96,3.32,1.72,2024-02-17,1259,2024/02/17 12:59:00+00,43,289.72,22.81
"POINT (16.87979 44.03016)",44.03016,16.87979,302.87,2.38,1.49,2024-02-17,1259,2024/02/17 12:59:00+00,36,286.84,17.1
"POINT (16.857 44.03114)",44.03114,16.857,302.49,2.37,1.49,2024-02-17,1259,2024/02/17 12:59:00+00,36,285.66,19.7
"POINT (19.58469 42.25958)",42.25958,19.58469,305.95,3.3,1.72,2024-02-17,1259,2024/02/17 12:59:00+00,62,285.71,44.33
"POINT (4.77876 43.53242)",43.53242,4.77876,332.14,1.13,1.06,2024-02-17,1259,2024/02/17 12:59:00+00,88,288.37,37.91
